DS,PREPROC,MOD,acc-train,acc-cv,acc-test,best-params,tam-rep
DS1,BASELINE,SVM_BOW,1.0,0.828,0.841,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1189
DS1,BASELINE,SVM_BOW_TFIDF,0.999,0.86,0.856,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1189
DS1,BASELINE,SVM_3_4G_CHAR,0.999,0.842,0.866,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",6255
DS1,BASELINE,SVM_1_2G_WORD,1.0,0.847,0.848,"{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}",5593
DS1,BASELINE,LR_BOW,1.0,0.843,0.83,{'C': 100},1189
DS1,BASELINE,LR_BOW_TFIDF,1.0,0.857,0.848,{'C': 100},1189
DS1,BASELINE,LR_3_4G_CHAR,1.0,0.843,0.841,{'C': 100},6255
DS1,BASELINE,LR_1_2G_WORD,1.0,0.833,0.845,{'C': 100},5593
DS1,BASELINE_STOPWORD_SINFILTRO,SVM_BOW,0.986,0.728,0.718,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1089
DS1,BASELINE_STOPWORD_SINFILTRO,SVM_BOW_TFIDF,0.952,0.737,0.74,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1089
DS1,BASELINE_STOPWORD_SINFILTRO,SVM_3_4G_CHAR,0.99,0.727,0.74,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",5695
DS1,BASELINE_STOPWORD_SINFILTRO,SVM_1_2G_WORD,0.957,0.731,0.726,"{'C': 2, 'gamma': 1, 'kernel': 'sigmoid'}",4315
DS1,BASELINE_STOPWORD_SINFILTRO,LR_BOW,0.985,0.735,0.704,{'C': 10},1089
DS1,BASELINE_STOPWORD_SINFILTRO,LR_BOW_TFIDF,0.977,0.736,0.729,{'C': 10},1089
DS1,BASELINE_STOPWORD_SINFILTRO,LR_3_4G_CHAR,0.99,0.742,0.733,{'C': 100},5695
DS1,BASELINE_STOPWORD_SINFILTRO,LR_1_2G_WORD,0.99,0.727,0.744,{'C': 100},4315
DS1,BASELINE_STOPWORD_CONFILTRO,SVM_BOW,1.0,0.838,0.859,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1110
DS1,BASELINE_STOPWORD_CONFILTRO,SVM_BOW_TFIDF,1.0,0.856,0.838,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1110
DS1,BASELINE_STOPWORD_CONFILTRO,SVM_3_4G_CHAR,1.0,0.844,0.863,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",5894
DS1,BASELINE_STOPWORD_CONFILTRO,SVM_1_2G_WORD,1.0,0.841,0.863,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",4912
DS1,BASELINE_STOPWORD_CONFILTRO,LR_BOW,1.0,0.836,0.812,{'C': 100},1110
DS1,BASELINE_STOPWORD_CONFILTRO,LR_BOW_TFIDF,1.0,0.849,0.83,{'C': 100},1110
DS1,BASELINE_STOPWORD_CONFILTRO,LR_3_4G_CHAR,1.0,0.839,0.852,{'C': 100},5894
DS1,BASELINE_STOPWORD_CONFILTRO,LR_1_2G_WORD,1.0,0.838,0.838,{'C': 100},4912
DS1,PROC,SVM_BOW,0.977,0.827,0.823,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1162
DS1,PROC,SVM_BOW_TFIDF,0.999,0.863,0.852,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1162
DS1,PROC,SVM_3_4G_CHAR,0.999,0.841,0.874,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",6075
DS1,PROC,SVM_1_2G_WORD,1.0,0.847,0.852,"{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}",5465
DS1,PROC,LR_BOW,1.0,0.843,0.834,{'C': 100},1162
DS1,PROC,LR_BOW_TFIDF,1.0,0.851,0.845,{'C': 100},1162
DS1,PROC,LR_3_4G_CHAR,1.0,0.838,0.848,{'C': 100},6075
DS1,PROC,LR_1_2G_WORD,1.0,0.837,0.845,{'C': 100},5465
DS1,PROC_STOPWORD_CONFILTRO,SVM_BOW,1.0,0.839,0.859,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1087
DS1,PROC_STOPWORD_CONFILTRO,SVM_BOW_TFIDF,1.0,0.857,0.841,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1087
DS1,PROC_STOPWORD_CONFILTRO,SVM_3_4G_CHAR,1.0,0.846,0.863,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",5817
DS1,PROC_STOPWORD_CONFILTRO,SVM_1_2G_WORD,0.992,0.845,0.859,"{'C': 2, 'gamma': 1, 'kernel': 'sigmoid'}",4858
DS1,PROC_STOPWORD_CONFILTRO,LR_BOW,1.0,0.838,0.809,{'C': 100},1087
DS1,PROC_STOPWORD_CONFILTRO,LR_BOW_TFIDF,1.0,0.848,0.83,{'C': 100},1087
DS1,PROC_STOPWORD_CONFILTRO,LR_3_4G_CHAR,1.0,0.838,0.852,{'C': 100},5817
DS1,PROC_STOPWORD_CONFILTRO,LR_1_2G_WORD,1.0,0.841,0.841,{'C': 100},4858
DS1,PROC_STOPWORD_SINFILTRO,SVM_BOW,0.986,0.728,0.726,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1066
DS1,PROC_STOPWORD_SINFILTRO,SVM_BOW_TFIDF,0.952,0.741,0.729,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1066
DS1,PROC_STOPWORD_SINFILTRO,SVM_3_4G_CHAR,0.99,0.728,0.733,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",5618
DS1,PROC_STOPWORD_SINFILTRO,SVM_1_2G_WORD,0.98,0.73,0.736,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",4265
DS1,PROC_STOPWORD_SINFILTRO,LR_BOW,0.985,0.734,0.704,{'C': 10},1066
DS1,PROC_STOPWORD_SINFILTRO,LR_BOW_TFIDF,0.977,0.738,0.736,{'C': 10},1066
DS1,PROC_STOPWORD_SINFILTRO,LR_3_4G_CHAR,0.99,0.747,0.736,{'C': 100},5618
DS1,PROC_STOPWORD_SINFILTRO,LR_1_2G_WORD,0.99,0.729,0.747,{'C': 100},4265
DS2,BASELINE,SVM_BOW,1.0,0.814,0.901,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1207
DS2,BASELINE,SVM_BOW_TFIDF,0.999,0.842,0.926,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1207
DS2,BASELINE,SVM_3_4G_CHAR,0.999,0.845,0.901,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",6351
DS2,BASELINE,SVM_1_2G_WORD,0.993,0.833,0.938,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",5773
DS2,BASELINE,LR_BOW,1.0,0.832,0.901,{'C': 10},1207
DS2,BASELINE,LR_BOW_TFIDF,1.0,0.835,0.926,{'C': 100},1207
DS2,BASELINE,LR_3_4G_CHAR,1.0,0.841,0.926,{'C': 100},6351
DS2,BASELINE,LR_1_2G_WORD,1.0,0.82,0.944,{'C': 100},5773
DS2,BASELINE_STOPWORD_SINFILTRO,SVM_BOW,0.977,0.723,0.84,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",1104
DS2,BASELINE_STOPWORD_SINFILTRO,SVM_BOW_TFIDF,0.944,0.715,0.846,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1104
DS2,BASELINE_STOPWORD_SINFILTRO,SVM_3_4G_CHAR,0.945,0.715,0.846,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",5761
DS2,BASELINE_STOPWORD_SINFILTRO,SVM_1_2G_WORD,0.976,0.713,0.846,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",4452
DS2,BASELINE_STOPWORD_SINFILTRO,LR_BOW,0.984,0.708,0.852,{'C': 10},1104
DS2,BASELINE_STOPWORD_SINFILTRO,LR_BOW_TFIDF,0.971,0.717,0.846,{'C': 10},1104
DS2,BASELINE_STOPWORD_SINFILTRO,LR_3_4G_CHAR,0.989,0.709,0.827,{'C': 100},5761
DS2,BASELINE_STOPWORD_SINFILTRO,LR_1_2G_WORD,0.989,0.705,0.864,{'C': 100},4452
DS2,BASELINE_STOPWORD_CONFILTRO,SVM_BOW,1.0,0.834,0.895,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1125
DS2,BASELINE_STOPWORD_CONFILTRO,SVM_BOW_TFIDF,0.997,0.828,0.938,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",1125
DS2,BASELINE_STOPWORD_CONFILTRO,SVM_3_4G_CHAR,1.0,0.836,0.926,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",5958
DS2,BASELINE_STOPWORD_CONFILTRO,SVM_1_2G_WORD,0.985,0.83,0.944,"{'C': 2, 'gamma': 1, 'kernel': 'sigmoid'}",5059
DS2,BASELINE_STOPWORD_CONFILTRO,LR_BOW,0.999,0.829,0.87,{'C': 10},1125
DS2,BASELINE_STOPWORD_CONFILTRO,LR_BOW_TFIDF,1.0,0.829,0.907,{'C': 100},1125
DS2,BASELINE_STOPWORD_CONFILTRO,LR_3_4G_CHAR,1.0,0.842,0.914,{'C': 100},5958
DS2,BASELINE_STOPWORD_CONFILTRO,LR_1_2G_WORD,1.0,0.823,0.932,{'C': 100},5059
DS2,PROC,SVM_BOW,1.0,0.813,0.895,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1177
DS2,PROC,SVM_BOW_TFIDF,0.986,0.84,0.938,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1177
DS2,PROC,SVM_3_4G_CHAR,1.0,0.843,0.914,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",6168
DS2,PROC,SVM_1_2G_WORD,0.993,0.834,0.951,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",5629
DS2,PROC,LR_BOW,1.0,0.828,0.895,{'C': 10},1177
DS2,PROC,LR_BOW_TFIDF,1.0,0.839,0.926,{'C': 100},1177
DS2,PROC,LR_3_4G_CHAR,1.0,0.836,0.926,{'C': 100},6168
DS2,PROC,LR_1_2G_WORD,1.0,0.822,0.938,{'C': 100},5629
DS2,PROC_STOPWORD_CONFILTRO,SVM_BOW,1.0,0.834,0.895,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1099
DS2,PROC_STOPWORD_CONFILTRO,SVM_BOW_TFIDF,0.999,0.828,0.932,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1099
DS2,PROC_STOPWORD_CONFILTRO,SVM_3_4G_CHAR,1.0,0.836,0.926,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",5880
DS2,PROC_STOPWORD_CONFILTRO,SVM_1_2G_WORD,0.992,0.834,0.951,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",5000
DS2,PROC_STOPWORD_CONFILTRO,LR_BOW,0.999,0.828,0.864,{'C': 10},1099
DS2,PROC_STOPWORD_CONFILTRO,LR_BOW_TFIDF,1.0,0.834,0.907,{'C': 100},1099
DS2,PROC_STOPWORD_CONFILTRO,LR_3_4G_CHAR,1.0,0.847,0.914,{'C': 100},5880
DS2,PROC_STOPWORD_CONFILTRO,LR_1_2G_WORD,1.0,0.826,0.938,{'C': 100},5000
DS2,PROC_STOPWORD_SINFILTRO,SVM_BOW,0.975,0.722,0.833,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",1078
DS2,PROC_STOPWORD_SINFILTRO,SVM_BOW_TFIDF,0.941,0.723,0.84,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1078
DS2,PROC_STOPWORD_SINFILTRO,SVM_3_4G_CHAR,0.947,0.715,0.852,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",5684
DS2,PROC_STOPWORD_SINFILTRO,SVM_1_2G_WORD,0.977,0.724,0.846,"{'C': 5, 'gamma': 1, 'kernel': 'sigmoid'}",4398
DS2,PROC_STOPWORD_SINFILTRO,LR_BOW,0.984,0.711,0.858,{'C': 10},1078
DS2,PROC_STOPWORD_SINFILTRO,LR_BOW_TFIDF,0.969,0.72,0.846,{'C': 10},1078
DS2,PROC_STOPWORD_SINFILTRO,LR_3_4G_CHAR,0.989,0.718,0.827,{'C': 100},5684
DS2,PROC_STOPWORD_SINFILTRO,LR_1_2G_WORD,0.989,0.706,0.858,{'C': 100},4398
